sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid
1,16,0,0,0,0,0,0,172,2,0,1
1,6,0,0,0,1,4,0,318,3,0,1
1,5,0,0,1,0,1,0,317,7,2,0
1,23,1,0,0,0,14,0,296,5,1,1
0,21,1,0,0,0,0,1,44,0,0,0
1,3,1,0,0,0,1,0,202,2,0,1
1,9,1,0,0,0,0,0,252,3,0,0
1,5,0,0,0,0,3,1,44,5,1,1
0,19,1,0,0,0,0,1,44,0,0,0
1,23,0,0,0,0,0,0,284,3,0,0
0,29,1,0,0,0,1,0,436,0,0,1
1,13,0,0,0,0,7,0,176,2,0,1
1,7,0,0,0,0,3,0,194,9,2,0
1,13,1,0,0,0,6,0,141,4,1,1
1,13,1,0,0,0,5,0,309,2,0,1
1,46,0,0,0,0,13,0,436,5,1,1
1,3,0,0,0,0,1,0,50,8,2,1
1,9,1,0,0,0,0,1,311,1,0,1
0,3,1,0,0,0,0,0,206,3,0,0
1,25,1,0,0,0,1,1,379,0,0,0
1,9,0,0,0,0,8,0,71,2,0,1
0,18,1,0,0,0,3,0,436,2,0,0
1,8,0,0,0,1,5,0,250,6,1,1
1,15,0,0,0,0,0,0,383,9,2,1
1,12,1,0,0,0,9,0,172,8,2,1
1,14,0,0,0,0,4,0,35,7,2,1
1,37,1,0,0,0,0,0,436,0,0,0
1,8,1,0,0,2,6,1,243,7,2,0
0,15,1,0,0,0,4,1,44,4,1,1
1,6,1,0,0,0,1,1,44,1,0,1
1,16,0,2,1,3,21,0,275,8,2,1
1,11,1,0,0,0,0,1,287,1,0,0
0,3,0,0,0,0,2,0,436,7,2,0
1,33,0,0,0,0,2,1,415,0,0,0
1,11,1,0,0,0,2,1,428,1,0,1
0,33,0,0,0,0,7,0,318,1,0,0
1,11,0,0,0,0,0,0,115,6,1,1
1,7,1,0,0,0,9,1,44,9,2,1
1,17,0,1,0,4,13,0,426,7,2,1
1,31,1,0,0,0,0,1,105,0,0,0
1,16,0,0,0,0,4,1,139,2,0,1
1,11,0,0,0,0,0,0,383,3,0,0
1,11,1,0,0,0,1,0,326,1,0,1
1,30,1,0,0,0,20,0,436,5,1,1
1,13,0,0,0,1,15,0,36,4,1,0
1,6,0,0,0,0,2,0,271,3,0,1
1,31,0,0,0,0,4,1,44,0,0,0
1,35,1,0,0,0,8,0,436,4,1,0
1,17,0,0,0,0,5,0,141,2,0,0
1,45,0,0,0,0,10,1,290,6,1,1
1,9,0,1,1,2,15,0,141,9,2,1
1,20,1,0,0,0,4,1,44,1,0,1
1,4,0,0,0,1,1,0,261,3,0,1
1,4,0,0,1,2,2,0,357,9,2,1
1,11,0,0,0,0,4,0,436,8,2,1
1,9,0,0,1,0,6,0,21,5,1,1
0,38,0,0,0,0,0,1,44,0,0,0
1,21,0,0,0,0,1,1,436,3,0,0
1,11,0,0,0,0,5,0,164,5,1,1
1,9,1,0,0,1,1,0,436,5,1,1
1,22,0,0,0,0,2,0,436,1,0,0
1,4,0,0,0,0,1,1,44,2,0,1
1,4,1,0,0,0,0,0,194,7,2,0
0,8,0,0,0,0,1,0,256,3,0,1
1,9,1,0,0,0,1,0,60,6,1,1
1,14,0,0,0,0,0,0,171,1,0,0
1,23,0,0,0,0,1,1,436,1,0,0
1,12,0,0,0,0,8,1,287,9,2,1
1,7,0,1,6,1,14,0,436,9,2,1
1,4,0,1,0,0,2,0,39,8,2,1
1,5,0,0,0,1,2,1,436,6,1,1
0,17,0,0,0,0,1,1,436,1,0,0
1,18,0,0,0,0,9,0,125,6,1,1
1,8,1,0,0,0,7,0,296,7,2,1
1,7,1,0,0,0,9,0,250,7,2,1
1,53,0,0,0,0,12,1,287,6,1,0
0,2,1,0,0,0,0,0,284,6,1,0
1,21,1,0,0,0,2,0,300,0,0,1
1,48,1,0,0,0,3,0,180,0,0,0
0,36,1,0,0,0,0,1,105,0,0,0
1,1,0,0,0,0,1,1,44,3,0,1
1,6,0,0,0,0,1,0,436,1,0,0
1,12,0,0,0,0,1,0,154,1,0,0
0,21,1,0,0,0,0,0,14,0,0,1
1,6,1,0,1,2,8,0,165,5,1,1
1,12,1,0,0,0,0,0,311,3,0,0
1,13,1,0,0,0,0,1,44,4,1,0
0,21,1,0,0,0,1,0,325,3,0,0
1,41,0,0,0,0,14,0,436,8,2,1
1,25,1,0,0,0,1,0,318,0,0,0
1,3,0,0,0,0,3,0,194,8,2,1
1,20,1,0,0,0,5,1,287,3,0,1
1,16,1,0,0,0,0,0,17,4,1,0
1,15,0,0,0,0,5,0,257,4,1,1
1,19,0,0,0,0,3,0,284,1,0,0
1,24,1,0,0,0,1,0,12,1,0,1
1,23,0,0,1,0,10,0,318,8,2,1
1,4,0,0,0,0,0,0,426,3,0,1
1,15,0,0,8,2,28,0,141,7,2,1
1,13,0,0,0,0,1,1,44,6,1,0
1,13,1,0,0,0,13,0,436,9,2,1
1,9,0,0,0,0,3,0,318,8,2,1
1,38,0,0,0,0,8,0,436,8,2,0
1,34,1,0,0,0,3,1,44,8,2,0
1,15,0,0,0,0,19,0,436,9,2,1
0,46,1,0,0,0,2,1,342,0,0,0
1,4,1,0,0,0,4,0,300,5,1,1
1,24,1,0,0,0,6,0,300,2,0,0
0,7,1,0,0,0,2,0,436,3,0,0
1,12,1,0,0,0,1,1,6,1,0,0
1,10,1,0,0,0,2,0,436,0,0,0
1,10,1,0,0,0,0,1,136,1,0,1
0,6,0,0,0,0,0,1,44,1,0,0
0,11,1,0,1,0,10,0,194,3,0,1
1,26,1,0,0,0,2,1,44,1,0,1
1,14,0,0,0,0,3,0,318,6,1,1
1,13,1,0,0,0,2,1,342,2,0,1
1,13,0,0,0,0,1,1,219,1,0,0
1,41,1,0,0,0,1,0,318,1,0,1
0,27,1,0,0,0,4,0,436,3,0,0
0,2,0,1,0,0,1,0,436,9,2,0
0,25,1,0,0,0,0,1,105,0,0,0
1,20,0,1,1,0,9,0,318,7,2,1
1,14,0,0,0,0,11,0,268,5,1,1
1,15,0,0,0,0,8,1,30,4,1,1
0,13,0,0,0,0,0,0,326,2,0,1
0,15,0,0,0,0,7,0,318,8,2,1
1,9,0,0,0,0,2,0,383,8,2,1
